SMILES,molecule_chembl_id,IC50,mol,mw,nhd,nha,clogp,rb,pIC50
COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2cc1OC,CHEMBL404881,121.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae26c0>,491.13150540399994,2,6,5.239100000000003,7,6.91721462968355
CSc1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL256920,130.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2730>,483.05451803599993,2,6,6.005300000000003,6,6.886056647693163
CC(O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL256715,132.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae27a0>,481.09301171999994,3,6,5.336700000000002,6,6.87942606879415
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1,CHEMBL257802,116.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2810>,437.066796972,2,5,5.283400000000002,5,6.935542010773082
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)c4ccco4)sc23)c(F)c1,CHEMBL257546,130.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2880>,531.072276276,2,7,6.107400000000003,7,6.886056647693163
COC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL256972,113.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae28f0>,495.07227627599997,2,7,5.070000000000003,6,6.94692155651658
CN1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)CC1,CHEMBL254761,193.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2960>,563.146109912,2,7,4.671000000000004,6,6.714442690992226
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)N4CCCC4)sc23)c(F)c1,CHEMBL254964,54.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae29d0>,534.119560816,2,6,5.519400000000004,6,7.267606240177032
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)N4CCOCC4)sc23)c(F)c1,CHEMBL401838,125.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2a40>,550.114475436,2,7,4.755800000000003,6,6.903089986991944
CCN(CC)C(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL402504,114.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2ab0>,536.13521088,2,6,5.765400000000004,8,6.943095148663527
CN(C)C(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL402036,48.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2b20>,508.10391075200005,2,6,4.985200000000003,6,7.318758762624412
CNC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL438877,80.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2b90>,494.08826068800005,3,6,4.643000000000003,6,7.096910013008056
NC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,CHEMBL256974,65.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2c00>,480.07261062400005,3,6,4.3823000000000025,6,7.187086643357144
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4cncnc4)sc23)c(F)c1,CHEMBL256786,63.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2c70>,515.0885950360001,2,7,5.740400000000003,6,7.200659450546418
O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4ccoc4)sc23)c(F)c1,CHEMBL403747,74.0,<rdkit.Chem.rdchem.Mol object at 0x734b19ae2ce0>,503.07736165600005,2,6,6.543400000000003,6,7.130768280269024
