action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,1197969,[],CHEMBL710508,Inhibit of human Met proto-oncogene tyrosine kinase,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C#CC(C)(C)N)cc1C(=O)c1ccc(Nc2ccc(F)cc2F)cc1,,,CHEMBL1147484,Bioorg Med Chem Lett,2004,"{'bei': '13.85', 'le': '0.26', 'lle': '0.78', 'sei': '9.05'}",CHEMBL419409,,CHEMBL419409,5.82,0,http://www.openphacts.org/units/Nanomolar,228265,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,1.5
,,1605369,[],CHEMBL881953,In vitro inhibitory concentration against Met with ATP concentration at 1/2Km,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,,,CHEMBL1143653,J Med Chem,2005,"{'bei': '11.07', 'le': '0.21', 'lle': '1.45', 'sei': '5.00'}",CHEMBL401930,,CHEMBL401930,5.31,0,http://www.openphacts.org/units/Nanomolar,401606,=,1,1,=,,IC50,nM,,4870.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,4870.0
,,1664713,[],CHEMBL863467,Inhibitory activity against c-Met,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C#CC(C)(C)N)cc1-c1[nH]nc2nc(Nc3ccc(F)cc3F)ncc12,,,CHEMBL1147752,Bioorg Med Chem Lett,2006,"{'bei': '13.41', 'le': '0.25', 'lle': '1.68', 'sei': '5.72'}",CHEMBL370808,,CHEMBL370808,5.82,0,http://www.openphacts.org/units/Nanomolar,412089,=,1,1,=,,IC50,nM,,1500.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,1.5
,,1748679,[],CHEMBL870357,Inhibition of cMet,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3cc(OC)c(OCCCN4CCN(C)CC4)c(OC)c3)n2)c(OC)c1,,,CHEMBL1145338,J Med Chem,2006,"{'bei': '8.18', 'le': '0.15', 'lle': '-0.60', 'sei': '4.68'}",CHEMBL386760,,CHEMBL386760,5.62,0,http://www.openphacts.org/units/Nanomolar,533350,=,1,1,=,,IC50,nM,,2400.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,2.4
,,1755314,[],CHEMBL868612,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,,CHEMBL1146851,Bioorg Med Chem Lett,2006,"{'bei': '14.76', 'le': '0.27', 'lle': '2.54', 'sei': '9.92'}",CHEMBL388978,STAUROSPORINE,CHEMBL388978,6.89,0,http://www.openphacts.org/units/Nanomolar,549438,=,1,1,=,,IC50,nM,,130.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,130.0
,,1755334,[],CHEMBL868612,Inhibition of Met,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1nccc(-c2ccc(C(=O)N[C@H](CN)Cc3ccc(Cl)cc3Cl)s2)n1,,,CHEMBL1146851,Bioorg Med Chem Lett,2006,"{'bei': '13.65', 'le': '0.29', 'lle': '2.11', 'sei': '6.41'}",CHEMBL213618,,CHEMBL213618,5.96,0,http://www.openphacts.org/units/Nanomolar,549433,=,1,1,=,,IC50,nM,,1100.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,1100.0
,,1815198,[],CHEMBL908502,Inhibition of c-Met,B,,,BAO_0000190,BAO_0000357,single protein format,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,,,CHEMBL1141380,J Med Chem,2007,"{'bei': '7.69', 'le': '0.15', 'lle': '-0.97', 'sei': '4.25'}",CHEMBL373882,,CHEMBL373882,4.60,0,http://www.openphacts.org/units/Nanomolar,624639,=,1,1,=,,IC50,nM,,25000.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,25000.0
,,1857082,[],CHEMBL920667,Inhibition of Met kinase,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1144565,Bioorg Med Chem,2007,,CHEMBL228043,,CHEMBL228043,,0,http://www.openphacts.org/units/Nanomolar,634358,=,1,1,=,,IC50,nM,,215000.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,215.0
,,1922403,[],CHEMBL895916,Inhibition of cMet kinase,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)c(OC[C@@H]5CCCN5C)c4)nc3c2)ccn1,,,CHEMBL1148766,J Med Chem,2007,"{'bei': '9.57', 'le': '0.18', 'lle': '-0.38', 'sei': '4.78'}",CHEMBL231568,,CHEMBL231568,4.86,0,http://www.openphacts.org/units/Nanomolar,654802,=,1,1,=,,IC50,nM,,13700.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,uM,UO_0000065,,13.7
,,2019932,[],CHEMBL903335,Inhibition of cMet,B,,,BAO_0000190,BAO_0000357,single protein format,CCOc1cccc2c1c(/C=C1\C(=O)NN=C1c1snnc1C)cn2C,,,CHEMBL1139105,Bioorg Med Chem Lett,2007,"{'bei': '14.78', 'le': '0.29', 'lle': '2.78', 'sei': '6.67'}",CHEMBL398610,,CHEMBL398610,5.43,0,http://www.openphacts.org/units/Nanomolar,670952,=,1,1,=,,IC50,nM,,3700.0,CHEMBL3717,Homo sapiens,Hepatocyte growth factor receptor,9606,,,IC50,nM,UO_0000065,,3700.0
