molecule_chembl_id,deltaG
CHEMBL1257015,-8.31
CHEMBL473417,-9.41
CHEMBL3301607,-9.71
CHEMBL1521,-8.14
CHEMBL2103772,-9.0
CHEMBL162036,-7.92
CHEMBL2105759,-7.85
CHEMBL3137318,-8.51
CHEMBL514800,-9.43
CHEMBL1522,-7.62
CHEMBL1233,-5.74
CHEMBL135400,-7.74
CHEMBL9967,-8.26
CHEMBL1771,-8.24
CHEMBL779,-8.47
CHEMBL19224,-7.35
CHEMBL4297526,-8.19
CHEMBL277062,-6.51
CHEMBL3989833,-9.79
CHEMBL521686,-10.63
CHEMBL1201168,-7.3
CHEMBL3989786,-9.92
CHEMBL1256841,-7.45
CHEMBL407,-6.34
CHEMBL628,-7.28
CHEMBL3183075,-7.12
CHEMBL1402684,-8.59
CHEMBL1200470,-7.51
CHEMBL1201056,-7.85
CHEMBL2216870,-8.9
CHEMBL1503,-7.1
CHEMBL1201320,-7.02
CHEMBL1567328,-7.58
CHEMBL297302,-9.94
CHEMBL45,-6.79
CHEMBL1909288,-9.04
CHEMBL942,-8.14
CHEMBL51,-9.96
CHEMBL107,-5.09
CHEMBL4204794,-9.32
CHEMBL237500,-10.37
CHEMBL364713,-6.84
CHEMBL4297528,-10.25
CHEMBL3188267,-11.39
CHEMBL2107834,-8.76
CHEMBL3545376,-9.06
CHEMBL1201198,-7.54
CHEMBL946,-7.35
CHEMBL1697760,-7.35
CHEMBL1257051,-8.18
CHEMBL811,-7.08
CHEMBL1201287,-7.03
CHEMBL4101807,-8.16
CHEMBL654,-7.8
CHEMBL2105669,-9.49
CHEMBL593,-9.25
CHEMBL3707348,-11.06
CHEMBL1515,-3.76
CHEMBL3402762,-12.38
CHEMBL4298138,-6.02
CHEMBL188952,-6.78
CHEMBL1201747,-6.93
CHEMBL278819,-7.95
CHEMBL637,-6.78
CHEMBL1201353,-6.87
CHEMBL505,-6.9
CHEMBL3894860,-10.41
CHEMBL15870,-7.87
CHEMBL3,-5.39
CHEMBL178803,-6.49
CHEMBL2325741,-9.79
CHEMBL1201758,-8.06
CHEMBL1193,-6.41
CHEMBL864,-6.33
CHEMBL911,-8.08
CHEMBL681,-6.54
CHEMBL810,-6.37
CHEMBL435298,-6.83
CHEMBL563,-6.84
CHEMBL2205807,-5.65
CHEMBL1631694,-6.57
CHEMBL1146,-9.95
CHEMBL1118,-6.64
CHEMBL22108,-8.2
CHEMBL57,-7.27
CHEMBL340978,-7.86
CHEMBL3039502,-10.1
CHEMBL527,-7.81
CHEMBL1740513,-4.4
CHEMBL190,-5.34
CHEMBL1789941,-8.31
CHEMBL594,-4.58
CHEMBL117785,-7.33
CHEMBL1214124,-8.91
CHEMBL655,-8.69
CHEMBL998,-8.47
CHEMBL1316,-8.12
CHEMBL1201746,-7.97
CHEMBL1492,-7.42
CHEMBL1371770,-7.37
CHEMBL154,-6.96
CHEMBL1201203,-8.05
CHEMBL3353410,-8.58
CHEMBL2005186,-11.32
CHEMBL3286830,-7.15
CHEMBL46,-8.22
CHEMBL302795,-7.03
CHEMBL12,-6.15
CHEMBL2111030,-7.1
CHEMBL284092,-8.58
CHEMBL778,-6.36
CHEMBL16476,-7.21
CHEMBL485253,-8.84
CHEMBL1095607,-8.64
CHEMBL534,-7.14
CHEMBL305187,-8.69
CHEMBL1909285,-6.61
CHEMBL648,-6.93
CHEMBL941,-11.37
CHEMBL831,-8.12
CHEMBL4596392,-8.41
CHEMBL34259,-7.9
CHEMBL37390,-5.64
CHEMBL638,-6.22
CHEMBL113,-5.29
CHEMBL517,-7.65
CHEMBL661,-8.94
CHEMBL2028019,-8.38
CHEMBL1741134,-9.78
CHEMBL17860,-6.05
CHEMBL192,-9.07
CHEMBL880,-6.48
CHEMBL1183717,-9.05
CHEMBL93,-6.65
CHEMBL3546271,-7.23
CHEMBL2396661,-8.52
CHEMBL1117,-9.3
CHEMBL4208229,-7.91
CHEMBL526,-5.9
CHEMBL289469,-8.24
CHEMBL1201216,-9.23
CHEMBL1624126,-5.81
CHEMBL506,-6.92
CHEMBL319144,-6.16
CHEMBL1752,-5.98
CHEMBL142635,-8.66
CHEMBL3990047,-8.79
CHEMBL189963,-9.72
CHEMBL516,-7.07
CHEMBL1444,-7.12
CHEMBL191083,-7.11
CHEMBL28333,-6.1
CHEMBL1197051,-6.36
CHEMBL314437,-5.09
CHEMBL2105720,-8.34
CHEMBL30116,-7.3
CHEMBL404,-6.21
CHEMBL157138,-9.31
CHEMBL1909283,-5.0
CHEMBL75435,-8.42
CHEMBL571,-8.44
CHEMBL434,-5.52
CHEMBL511,-6.5
CHEMBL87992,-6.14
CHEMBL1282,-7.22
CHEMBL431770,-8.21
CHEMBL1069,-9.43
CHEMBL1472,-7.88
CHEMBL94454,-9.14
CHEMBL119443,-8.65
CHEMBL1078178,-8.35
CHEMBL1421,-8.77
CHEMBL621,-9.35
CHEMBL1788385,-5.94
CHEMBL826,-7.98
CHEMBL1349,-6.57
CHEMBL1172,-6.85
CHEMBL1110,-8.1
CHEMBL855,-7.57
CHEMBL963,-6.56
CHEMBL934,-7.11
CHEMBL1496,-9.03
CHEMBL19215,-9.37
CHEMBL707,-8.4
CHEMBL480,-7.03
CHEMBL639,-7.9
CHEMBL1201863,-7.49
CHEMBL1644,-7.74
CHEMBL515387,-7.88
CHEMBL53,-7.39
CHEMBL304902,-7.84
CHEMBL625,-5.66
CHEMBL29411,-5.13
CHEMBL4594250,-10.22
CHEMBL3608680,-7.8
CHEMBL1449,-6.73
CHEMBL1569487,-7.07
CHEMBL451,-6.01
CHEMBL1279,-7.98
CHEMBL967,-6.01
CHEMBL49,-8.96
CHEMBL569713,-7.08
CHEMBL282052,-7.83
CHEMBL1201245,-6.73
CHEMBL644,-6.48
CHEMBL1241,-6.1
CHEMBL1963681,-8.83
CHEMBL3889654,-10.0
CHEMBL70927,-4.49
CHEMBL1083659,-6.46
CHEMBL4297185,-9.36
CHEMBL2218861,-8.44
CHEMBL42,-7.41
CHEMBL3989949,-6.5
CHEMBL471,-6.96
CHEMBL3545110,-9.22
CHEMBL4650485,-8.03
CHEMBL939,-9.42
CHEMBL70246,-5.58
CHEMBL1419,-7.47
CHEMBL498847,-4.57
CHEMBL2103877,-6.71
CHEMBL656,-7.41
CHEMBL1201191,-8.33
CHEMBL1000,-7.27
CHEMBL1697737,-6.43
CHEMBL715,-7.69
CHEMBL1096,-7.89
CHEMBL646,-8.32
CHEMBL1220,-5.63
CHEMBL438,-7.35
CHEMBL19449,-7.16
CHEMBL1289926,-10.62
CHEMBL191,-10.56
CHEMBL677,-5.01
CHEMBL2105527,-7.03
CHEMBL24441,-4.74
CHEMBL100116,-8.46
CHEMBL1908307,-5.97
CHEMBL278398,-7.99
CHEMBL27,-6.87
CHEMBL3707247,-8.81
CHEMBL969,-6.79
CHEMBL599,-7.95
CHEMBL1201273,-7.6
CHEMBL521,-6.24
CHEMBL1909286,-4.75
CHEMBL175,-6.2
CHEMBL276568,-8.38
CHEMBL1237119,-9.06
CHEMBL426084,-7.92
CHEMBL170,-8.33
CHEMBL1294,-8.12
CHEMBL1729,-7.55
CHEMBL1618018,-6.89
CHEMBL5,-6.24
CHEMBL395110,-8.44
CHEMBL70,-6.07
CHEMBL2107011,-8.11
CHEMBL622,-7.44
CHEMBL46399,-7.7
CHEMBL27193,-8.5
CHEMBL13280,-6.85
CHEMBL429,-8.72
CHEMBL1214,-7.57
CHEMBL92401,-5.82
CHEMBL1372950,-9.28
CHEMBL797,-6.19
CHEMBL1200596,-5.86
CHEMBL1159,-5.93
CHEMBL19299,-7.42
CHEMBL1540,-5.82
CHEMBL1727,-7.68
CHEMBL477772,-9.43
CHEMBL1537,-8.5
CHEMBL856,-5.98
CHEMBL1615439,-5.95
CHEMBL1441,-5.03
CHEMBL1111,-7.73
CHEMBL24,-6.35
CHEMBL781,-7.12
CHEMBL853,-6.29
CHEMBL1201217,-8.06
CHEMBL1148,-8.24
CHEMBL1173055,-7.31
CHEMBL1082,-7.55
CHEMBL2105224,-8.37
CHEMBL1599,-8.35
CHEMBL2043437,-8.58
CHEMBL4066936,-8.5
CHEMBL1513,-10.78
CHEMBL1201356,-8.79
CHEMBL485,-6.3
CHEMBL416146,-8.42
CHEMBL95,-7.06
CHEMBL3989908,-8.17
CHEMBL4105630,-9.76
CHEMBL1164729,-7.4
CHEMBL517712,-7.35
CHEMBL1378024,-5.33
CHEMBL1331216,-6.85
CHEMBL1201338,-6.56
CHEMBL1095,-6.34
CHEMBL2079130,-7.52
CHEMBL972,-5.57
CHEMBL3137308,-9.48
CHEMBL2403238,-7.94
CHEMBL285674,-8.27
CHEMBL3137320,-7.31
CHEMBL905,-7.3
CHEMBL276832,-6.01
CHEMBL1399,-7.7
CHEMBL1542,-6.92
CHEMBL119423,-4.93
CHEMBL1625607,-8.05
CHEMBL288470,-6.29
CHEMBL3701238,-9.1
CHEMBL277474,-6.34
CHEMBL3545185,-7.21
CHEMBL1200406,-5.48
CHEMBL476,-4.38
CHEMBL550348,-8.94
CHEMBL3099695,-6.99
CHEMBL799,-10.27
CHEMBL1873475,-9.67
CHEMBL221959,-8.19
CHEMBL531,-8.44
CHEMBL4297590,-8.59
CHEMBL1455,-4.2
CHEMBL1648,-7.95
CHEMBL1467,-4.2
CHEMBL273575,-7.38
CHEMBL12610,-7.91
CHEMBL585,-7.39
CHEMBL1425,-4.58
CHEMBL1380,-7.14
CHEMBL1201754,-6.57
CHEMBL1411979,-5.81
CHEMBL2147777,-8.7
CHEMBL1422,-8.2
CHEMBL643,-7.31
CHEMBL829,-7.56
CHEMBL126224,-5.68
CHEMBL4085457,-7.47
CHEMBL1242,-5.7
CHEMBL3622821,-7.54
CHEMBL741,-6.35
CHEMBL6437,-7.66
CHEMBL1565476,-7.36
CHEMBL1200959,-8.26
CHEMBL1929396,-8.87
CHEMBL231779,-8.93
CHEMBL1094636,-8.84
CHEMBL3306803,-9.76
CHEMBL1237021,-10.31
CHEMBL56564,-8.32
CHEMBL564,-7.29
CHEMBL859,-4.25
CHEMBL85,-10.89
CHEMBL1742423,-9.38
CHEMBL2,-6.68
CHEMBL106,-5.16
CHEMBL1452696,-8.48
CHEMBL1420,-4.06
CHEMBL21333,-10.84
CHEMBL13828,-9.95
CHEMBL4297610,-9.68
CHEMBL2105458,-6.9
CHEMBL3936761,-10.51
CHEMBL1089318,-8.14
CHEMBL11662,-6.2
CHEMBL1109,-8.25
CHEMBL727,-5.18
CHEMBL634,-8.39
CHEMBL1201210,-8.35
CHEMBL4071161,-8.94
CHEMBL611,-8.4
CHEMBL254316,-9.02
CHEMBL3643413,-9.21
CHEMBL1626223,-5.72
CHEMBL1201270,-3.44
CHEMBL175691,-9.12
CHEMBL487253,-7.08
CHEMBL11,-6.06
CHEMBL1106,-7.97
CHEMBL101,-7.8
CHEMBL279516,-9.26
CHEMBL1201038,-6.8
CHEMBL3655081,-8.53
CHEMBL461101,-10.13
CHEMBL14376,-9.72
CHEMBL290916,-6.13
CHEMBL22097,-6.24
CHEMBL4303214,-7.73
CHEMBL728,-9.47
CHEMBL71,-7.76
CHEMBL2364608,-8.63
CHEMBL623,-10.07
CHEMBL1278,-8.92
CHEMBL435966,-5.62
CHEMBL1076903,-6.79
CHEMBL708,-10.36
CHEMBL291157,-7.45
CHEMBL1089221,-7.71
CHEMBL2105762,-8.2
CHEMBL55400,-6.79
CHEMBL1449676,-4.76
