db,deltaG
db_0,-8.01
db_1,-7.32
db_2,-7.78
db_3,-9.67
db_4,-7.24
db_5,-6.44
db_6,-8.67
db_7,-8.96
db_8,-9.29
db_9,-9.14
db_10,-8.85
db_11,-8.49
db_12,-9.81
db_13,-8.48
db_14,-9.21
db_15,-9.9
db_16,-8.47
db_17,-8.32
db_18,-9.49
db_19,-6.43
db_20,-8.94
db_21,-7.73
db_22,-10.74
db_23,-6.5
db_24,-9.94
db_25,-8.61
db_26,-7.52
db_27,-7.4
db_28,-9.61
db_29,-10.18
db_30,-7.32
db_31,-9.52
db_32,-8.65
db_33,-9.25
db_34,-8.4
db_35,-7.67
db_36,-8.51
db_37,-7.99
db_38,-6.37
db_39,-8.59
db_40,-7.75
db_41,-7.43
db_42,-9.5
db_43,-9.0
db_44,-10.79
db_45,-9.19
db_46,-9.29
db_47,-9.3
db_48,-8.95
db_49,-8.86
db_50,-9.5
db_51,-8.66
db_52,-7.08
db_53,-9.58
db_54,-7.98
db_55,-7.26
db_56,-10.41
db_57,-9.05
db_58,-9.51
db_59,-10.93
db_60,-8.47
db_61,-8.05
db_62,-9.3
db_63,-8.77
db_64,-8.02
db_65,-9.63
db_66,-8.74
db_67,-6.67
db_68,-8.51
db_69,-10.11
db_70,-8.37
db_71,-9.49
db_72,-9.77
db_73,-10.01
db_74,-9.41
db_75,-9.81
db_76,-4.77
db_77,-9.57
db_78,-8.91
db_79,-8.52
db_80,-7.65
db_81,-8.23
db_82,-9.31
db_83,-9.79
db_84,-8.36
db_85,-8.72
db_86,-10.29
db_87,-9.63
db_88,-10.46
db_89,-7.55
db_90,-9.85
db_91,-9.86
db_92,-10.08
db_93,-8.76
db_94,-10.78
db_95,-6.52
db_96,-8.32
db_97,-12.0
db_98,-9.18
db_99,-9.22
db_100,-8.47
db_101,-9.23
db_102,-9.54
db_103,-10.49
db_104,-8.67
db_105,-8.33
db_106,-9.2
db_107,-9.4
db_108,-8.13
db_109,-11.3
db_110,-9.78
db_111,-9.99
db_112,-9.73
db_113,-10.97
db_114,-9.69
db_115,-10.01
db_116,-5.96
db_117,-8.52
db_118,-10.74
db_119,-10.36
db_120,-8.96
db_121,-8.28
db_122,-8.15
db_123,-9.77
db_124,-9.64
db_125,-10.82
db_126,-9.15
db_127,-7.79
db_128,-8.29
db_129,-6.01
db_130,-10.18
db_131,-10.17
db_132,-9.36
db_133,-8.72
db_134,-8.83
db_135,-6.41
db_136,-8.52
db_137,-8.98
db_138,-8.11
db_139,-8.63
db_140,-9.12
db_141,-10.45
db_142,-8.49
db_143,-8.95
db_144,-9.26
db_145,-9.44
db_146,-9.42
db_147,-9.61
db_148,-9.49
db_149,-9.06
db_150,-10.08
db_151,-6.6
db_152,-8.13
db_153,-11.34
db_154,-9.24
db_155,-10.84
db_156,-10.33
db_157,-7.48
db_158,-10.39
db_159,-9.61
db_160,-9.21
db_161,-9.42
db_162,-9.83
db_163,-9.17
db_164,-8.84
db_165,-10.68
db_166,-7.37
db_167,-8.44
db_168,-8.23
db_169,-9.14
db_170,-9.64
db_171,-9.56
db_172,-7.46
