name,deltaG,SMILES,db
Tepotinib,-12.0,CN1CCC(COC2=CN=C(N=C2)C2=CC(CN3N=C(C=CC3=O)C3=CC(=CC=C3)C#N)=CC=C2)CC1,db_97
Crozbaciclib,-11.34,CN1CCC(CC1)C1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)C33CCCC3)C(F)=C2)N=C1,db_153
SAR-125844,-11.3,FC1=CC=C(C=C1)C1=NN2C(SC3=CC=C4N=C(NC(=O)NCCN5CCOCC5)SC4=C3)=NN=C2C=C1,db_109
Glumetinib,-10.97,CN1C=C(C=N1)C1=CN2C(C=C1)=NC=C2S(=O)(=O)N1N=CC2=NC=C(C=C12)C1=CN(C)N=C1,db_113
Omipalisib,-10.93,COC1=C(NS(=O)(=O)C2=C(F)C=C(F)C=C2)C=C(C=N1)C1=CC2=C(C=CN=C2C=C1)C1=CN=NC=C1,db_59
IDRX-42,-10.84,CN1C=C(C=N1)C1=CC=C(CNC2=CC(=NC=N2)C2=CN=C3C=C(OCCCN4CCCC4)C=CN23)C=C1,db_155
Nemiralisib,-10.82,CC(C)N1CCN(CC2=CN=C(O2)C2=CC(=CC3=C2C=NN3)C2=CC=CC3=C2C=CN3)CC1,db_125
Itacitinib,-10.79,FC1=C(N=CC=C1C(=O)N1CCC(CC1)N1CC(CC#N)(C1)N1C=C(C=N1)C1=C2C=CNC2=NC=N1)C(F)(F)F,db_44
BMS-919373,-10.78,NS(=O)(=O)C1=CN=CC(=C1)C1=NC(NCC2=NC=CC=C2)=C2C(C=CC=C2C2=CC=CC=C2)=N1,db_94
PLX8394,-10.74,F[C@@H]1CCN(C1)S(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CN=C(N=C2)C2CC2)=C1F,db_22
PLX8394,-10.74,F[C@@H]1CCN(C1)S(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CN=C(N=C2)C2CC2)=C1F,db_118
Palbociclib,-10.74,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,db_22
Palbociclib,-10.74,CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,db_118
Rezatapopt,-10.68,CNC(=O)C1=CC=C(NCC#CC2=CC3=C(N[C@@H]4CCN(C)C[C@@H]4F)C=CC=C3N2CC(F)(F)F)C(OC)=C1,db_165
Avutometinib,-10.49,CNS(=O)(=O)NC1=C(F)C(CC2=C(C)C3=C(OC2=O)C=C(OC2=NC=CC=N2)C=C3)=CC=N1,db_103
TAS-116,-10.46,CCC1=CC(=CC=C1N1N=C(C(C)C)C2=C1N=CC=C2N1C=NC(=C1)C1=CN(C)N=C1)C(N)=O,db_88
Cirtuvivint,-10.45,CN1C=C(C=N1)C1=CC2=C(C=C1)C=NC(NC(=O)C1=CC=NC(=C1)N1CCN(C)CC1)=C2,db_141
