molecule_chembl_id,SMILES,score,name,method,mol,mw,nhd,nha,clogp,rb,ro5
CHEMBL1257015,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,0.88,PICOTAMIDE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185af0>,376.1535405,2,5,2.3452,7,OK
CHEMBL473417,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,0.876,VISMODEGIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185b60>,420.01021866800005,1,4,4.7112000000000025,4,OK
CHEMBL2368925,O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,0.871,DOLASETRON,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185bd0>,324.1473925,1,4,2.519000000000001,2,OK
CHEMBL3301607,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,0.862,FILGOTINIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185c40>,425.152160596,1,7,1.9751999999999998,5,OK
CHEMBL1521,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0.862,ZALEPLON,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185cb0>,305.12766010000007,0,5,2.6407800000000003,3,OK
CHEMBL2103772,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,0.859,RACECADOTRIL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185d90>,385.13477921599997,1,5,2.9846000000000013,9,OK
CHEMBL162036,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,0.858,BENORILATE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185e00>,313.09502258,1,5,2.789500000000001,4,OK
CHEMBL2105759,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,0.856,BARICITINIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185e70>,371.11644378400007,1,7,1.09568,5,OK
CHEMBL3137318,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.856,TALAZOPARIB TOSYLATE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185ee0>,380.119715508,2,6,2.6285000000000007,2,OK
CHEMBL514800,CCOc1cc([C@@H](CS(C)(=O)=O)N2C(=O)c3cccc(NC(C)=O)c3C2=O)ccc1OC,0.856,APREMILAST,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340185f50>,460.13042210799995,1,7,2.4342000000000006,8,OK
CHEMBL1522,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.854,ESZOPICLONE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186030>,388.10506608400004,0,7,1.5679999999999998,2,OK
CHEMBL1233,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,0.854,CARISOPRODOL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401860a0>,260.173607248,2,4,2.0227,7,OK
CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.854,ZOPICLONE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186110>,388.10506608400004,0,7,1.5679999999999998,2,OK
CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,0.853,PIRENZEPINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186180>,351.16952491200004,1,5,1.5593999999999992,2,OK
CHEMBL1771,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,0.85,CLOPIDOGREL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186260>,321.059027432,0,4,3.6739000000000024,3,OK
CHEMBL779,CN1CC(=O)N2[C@H](c3ccc4c(c3)OCO4)c3[nH]c4ccccc4c3C[C@@H]2C1=O,0.846,TADALAFIL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186340>,389.137556088,1,4,2.2112999999999996,1,OK
CHEMBL19224,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0.846,PAPAVERINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401863b0>,339.147058152,0,5,3.860000000000003,6,OK
CHEMBL4297526,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc21,0.846,REMIMAZOLAM,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186420>,438.0691379480001,0,6,4.183520000000003,4,OK
CHEMBL277062,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,0.845,BROMAZEPAM,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186490>,315.00072404,1,3,2.6336000000000004,1,OK
CHEMBL3989833,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0.845,ZIPRASIDONE MESYLATE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186500>,412.112459972,1,5,3.809000000000002,4,OK
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.843,OLAPARIB,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186570>,434.17541881600005,1,4,2.3474000000000004,4,OK
CHEMBL1201168,Cc1cc(C(=O)NNCc2ccccc2)no1,0.843,ISOCARBOXAZID,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401865e0>,231.100776656,2,4,1.4176199999999997,4,OK
CHEMBL3989786,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,0.843,THIOPROPAZATE HYDROCHLORIDE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186650>,445.159075816,0,6,4.513500000000004,7,OK
CHEMBL1256841,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,0.842,NIALAMIDE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401866c0>,298.142975816,3,4,1.0224999999999989,7,OK
CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0.842,FLUMAZENIL,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186730>,303.101919528,0,5,1.7736999999999998,2,OK
CHEMBL628,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.841,PENTOXIFYLLINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186810>,278.13789043599996,0,7,0.19300000000000006,5,OK
CHEMBL3183075,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,0.841,NIZATIDINE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186880>,331.1136669120001,2,8,1.3224999999999998,10,OK
CHEMBL1402684,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,0.84,OXYPHENISATIN ACETATE,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d3401868f0>,401.12632270800003,1,5,3.8237000000000023,4,OK
CHEMBL1200470,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,0.84,ESOMEPRAZOLE SODIUM,swiss,<rdkit.Chem.rdchem.Mol object at 0x72d340186960>,344.10743601591,0,5,2.5288400000000006,5,OK
